,code_municipality_7,cluster,cluster_label
307,1600550,4,Rural with low human development
308,1600600,3,Urbanized with informal settlements
309,1600709,4,Rural with low human development
310,1600808,3,Urbanized with informal settlements
311,1700251,0,Semi-urbanized
312,1700301,0,Semi-urbanized
313,1700350,1,Urbanized
314,1700400,0,Semi-urbanized
315,1700707,1,Urbanized
316,1701002,0,Semi-urbanized
317,1701051,0,Semi-urbanized
318,1701101,0,Semi-urbanized
319,1701309,0,Semi-urbanized
320,1701903,0,Semi-urbanized
321,1702000,1,Urbanized
322,1702109,3,Urbanized with informal settlements
323,1702158,0,Semi-urbanized
324,1702208,0,Semi-urbanized
325,1702307,0,Semi-urbanized
326,1702406,0,Semi-urbanized
327,1702554,0,Semi-urbanized
328,1702703,0,Semi-urbanized
329,1702901,0,Semi-urbanized
330,1703008,0,Semi-urbanized
331,1703057,0,Semi-urbanized
332,1703073,0,Semi-urbanized
333,1703107,0,Semi-urbanized
334,1703206,0,Semi-urbanized
335,1703305,0,Semi-urbanized
336,1703602,0,Semi-urbanized
337,1703701,0,Semi-urbanized
338,1703800,0,Semi-urbanized
339,1703826,0,Semi-urbanized
340,1703842,4,Rural with low human development
341,1703867,0,Semi-urbanized
342,1703883,0,Semi-urbanized
343,1703891,0,Semi-urbanized
344,1703909,0,Semi-urbanized
345,1704105,0,Semi-urbanized
346,1704600,0,Semi-urbanized
347,1705102,0,Semi-urbanized
348,1705508,3,Urbanized with informal settlements
349,1705557,1,Urbanized
350,1705607,0,Semi-urbanized
351,1706001,0,Semi-urbanized
352,1706100,1,Urbanized
353,1706258,0,Semi-urbanized
354,1706506,0,Semi-urbanized
355,1707009,0,Semi-urbanized
356,1707108,0,Semi-urbanized
357,1707207,0,Semi-urbanized
358,1707306,0,Semi-urbanized
359,1707405,4,Rural with low human development
360,1707553,0,Semi-urbanized
361,1707652,1,Urbanized
362,1707702,0,Semi-urbanized
363,1708205,0,Semi-urbanized
364,1708254,0,Semi-urbanized
365,1708304,0,Semi-urbanized
366,1709005,4,Rural with low human development
367,1709302,1,Urbanized
368,1709500,1,Urbanized
369,1709807,0,Semi-urbanized
370,1710508,0,Semi-urbanized
371,1710706,0,Semi-urbanized
372,1710904,0,Semi-urbanized
373,1711100,0,Semi-urbanized
374,1711506,0,Semi-urbanized
375,1711803,0,Semi-urbanized
376,1711902,0,Semi-urbanized
377,1711951,0,Semi-urbanized
378,1712009,0,Semi-urbanized
379,1712157,0,Semi-urbanized
380,1712405,0,Semi-urbanized
381,1712454,0,Semi-urbanized
382,1712504,0,Semi-urbanized
383,1712702,0,Semi-urbanized
384,1712801,0,Semi-urbanized
385,1713205,1,Urbanized
386,1713304,1,Urbanized
387,1713601,0,Semi-urbanized
388,1713700,0,Semi-urbanized
389,1713809,0,Semi-urbanized
390,1713957,0,Semi-urbanized
391,1714203,0,Semi-urbanized
392,1714302,0,Semi-urbanized
393,1714880,0,Semi-urbanized
394,1715002,0,Semi-urbanized
395,1715101,0,Semi-urbanized
396,1715150,1,Urbanized
397,1715259,0,Semi-urbanized
398,1715507,0,Semi-urbanized
399,1715705,0,Semi-urbanized
400,1715754,1,Urbanized
401,1716109,1,Urbanized
402,1716208,0,Semi-urbanized
403,1716307,0,Semi-urbanized
404,1716505,1,Urbanized
405,1716604,0,Semi-urbanized
406,1716653,0,Semi-urbanized
407,1716703,1,Urbanized
408,1717008,0,Semi-urbanized
409,1717206,0,Semi-urbanized
410,1717503,0,Semi-urbanized
411,1717800,0,Semi-urbanized
412,1717909,0,Semi-urbanized
413,1718006,0,Semi-urbanized
414,1718204,1,Urbanized
415,1718303,0,Semi-urbanized
416,1718402,1,Urbanized
417,1718451,1,Urbanized
418,1718501,0,Semi-urbanized
419,1718550,0,Semi-urbanized
420,1718659,0,Semi-urbanized
421,1718709,0,Semi-urbanized
422,1718758,0,Semi-urbanized
423,1718808,0,Semi-urbanized
424,1718840,0,Semi-urbanized
425,1718865,0,Semi-urbanized
426,1718881,0,Semi-urbanized
427,1718899,0,Semi-urbanized
428,1718907,0,Semi-urbanized
429,1719004,0,Semi-urbanized
430,1720002,0,Semi-urbanized
431,1720101,0,Semi-urbanized
432,1720150,0,Semi-urbanized
433,1720200,0,Semi-urbanized
434,1720259,0,Semi-urbanized
435,1720309,4,Rural with low human development
436,1720499,0,Semi-urbanized
437,1720655,0,Semi-urbanized
438,1720804,0,Semi-urbanized
439,1720853,0,Semi-urbanized
440,1720903,0,Semi-urbanized
441,1720937,0,Semi-urbanized
442,1720978,2,Rural with high human development
443,1721000,3,Urbanized with informal settlements
444,1721109,4,Rural with low human development
445,1721208,0,Semi-urbanized
446,1721257,0,Semi-urbanized
447,1721307,0,Semi-urbanized
448,1722081,0,Semi-urbanized
449,1722107,0,Semi-urbanized
450,2100055,0,Semi-urbanized
451,2100105,4,Rural with low human development
452,2100154,4,Rural with low human development
453,2100204,0,Semi-urbanized
454,2100303,4,Rural with low human development
455,2100402,0,Semi-urbanized
456,2100436,0,Semi-urbanized
457,2100477,4,Rural with low human development
458,2100501,0,Semi-urbanized
459,2100550,4,Rural with low human development
460,2100600,4,Rural with low human development
461,2100709,4,Rural with low human development
462,2100808,4,Rural with low human development
463,2100832,4,Rural with low human development
464,2100873,4,Rural with low human development
465,2100907,4,Rural with low human development
466,2100956,4,Rural with low human development
467,2101004,0,Semi-urbanized
468,2101103,4,Rural with low human development
469,2101202,0,Semi-urbanized
470,2101251,0,Semi-urbanized
471,2101301,4,Rural with low human development
472,2101350,0,Semi-urbanized
473,2101400,3,Urbanized with informal settlements
474,2101509,0,Semi-urbanized
475,2101608,0,Semi-urbanized
476,2101707,4,Rural with low human development
477,2101731,4,Rural with low human development
478,2101772,4,Rural with low human development
479,2101806,4,Rural with low human development
480,2101905,0,Semi-urbanized
481,2101939,0,Semi-urbanized
482,2101970,4,Rural with low human development
483,2102002,4,Rural with low human development
484,2102036,4,Rural with low human development
485,2102077,0,Semi-urbanized
486,2102101,4,Rural with low human development
487,2102150,4,Rural with low human development
488,2102200,4,Rural with low human development
489,2102309,0,Semi-urbanized
490,2102325,4,Rural with low human development
491,2102358,0,Semi-urbanized
492,2102374,4,Rural with low human development
493,2102408,4,Rural with low human development
494,2102507,4,Rural with low human development
495,2102556,0,Semi-urbanized
496,2102606,4,Rural with low human development
497,2102705,4,Rural with low human development
498,2102754,4,Rural with low human development
499,2102804,0,Semi-urbanized
500,2102903,0,Semi-urbanized
501,2103000,0,Semi-urbanized
502,2103109,0,Semi-urbanized
503,2103125,4,Rural with low human development
504,2103158,4,Rural with low human development
505,2103174,4,Rural with low human development
506,2103208,4,Rural with low human development
507,2103257,0,Semi-urbanized
508,2103307,0,Semi-urbanized
509,2103406,4,Rural with low human development
510,2103505,4,Rural with low human development
511,2103554,4,Rural with low human development
512,2103604,0,Semi-urbanized
513,2103703,0,Semi-urbanized
514,2103752,0,Semi-urbanized
515,2103802,0,Semi-urbanized
516,2103901,4,Rural with low human development
517,2104008,0,Semi-urbanized
518,2104057,0,Semi-urbanized
519,2104073,4,Rural with low human development
520,2104081,4,Rural with low human development
521,2104099,4,Rural with low human development
522,2104107,0,Semi-urbanized
523,2104206,0,Semi-urbanized
524,2104305,0,Semi-urbanized
525,2104404,0,Semi-urbanized
526,2104503,4,Rural with low human development
527,2104552,0,Semi-urbanized
528,2104602,4,Rural with low human development
529,2104628,0,Semi-urbanized
530,2104651,4,Rural with low human development
531,2104677,4,Rural with low human development
532,2104701,0,Semi-urbanized
533,2104800,0,Semi-urbanized
534,2104909,0,Semi-urbanized
535,2105005,4,Rural with low human development
536,2105104,4,Rural with low human development
537,2105153,4,Rural with low human development
538,2105203,0,Semi-urbanized
539,2105302,3,Urbanized with informal settlements
540,2105351,4,Rural with low human development
541,2105401,0,Semi-urbanized
542,2105427,0,Semi-urbanized
543,2105450,0,Semi-urbanized
544,2105476,4,Rural with low human development
545,2105500,0,Semi-urbanized
546,2105609,4,Rural with low human development
547,2105658,4,Rural with low human development
548,2105708,0,Semi-urbanized
549,2105807,0,Semi-urbanized
550,2105906,4,Rural with low human development
551,2105922,4,Rural with low human development
552,2105948,0,Semi-urbanized
553,2105963,4,Rural with low human development
554,2105989,0,Semi-urbanized
555,2106003,0,Semi-urbanized
556,2106102,0,Semi-urbanized
557,2106201,4,Rural with low human development
558,2106300,0,Semi-urbanized
559,2106326,4,Rural with low human development
560,2106359,4,Rural with low human development
561,2106375,4,Rural with low human development
562,2106409,4,Rural with low human development
563,2106508,0,Semi-urbanized
564,2106607,4,Rural with low human development
565,2106631,4,Rural with low human development
566,2106672,4,Rural with low human development
567,2106706,4,Rural with low human development
568,2106755,0,Semi-urbanized
569,2106805,0,Semi-urbanized
570,2106904,4,Rural with low human development
571,2107001,0,Semi-urbanized
572,2107100,4,Rural with low human development
573,2107209,4,Rural with low human development
574,2107258,4,Rural with low human development
575,2107308,0,Semi-urbanized
576,2107357,0,Semi-urbanized
577,2107407,0,Semi-urbanized
578,2107456,4,Rural with low human development
579,2107506,3,Urbanized with informal settlements
580,2107605,4,Rural with low human development
581,2107704,0,Semi-urbanized
582,2107803,4,Rural with low human development
583,2107902,4,Rural with low human development
584,2108009,0,Semi-urbanized
585,2108058,4,Rural with low human development
586,2108108,4,Rural with low human development
587,2108207,0,Semi-urbanized
588,2108256,4,Rural with low human development
589,2108306,4,Rural with low human development
590,2108405,0,Semi-urbanized
591,2108454,4,Rural with low human development
592,2108504,0,Semi-urbanized
593,2108603,0,Semi-urbanized
594,2108702,4,Rural with low human development
595,2108801,4,Rural with low human development
596,2108900,0,Semi-urbanized
597,2109007,0,Semi-urbanized
598,2109056,0,Semi-urbanized
599,2109106,0,Semi-urbanized
600,2109205,4,Rural with low human development
601,2109239,0,Semi-urbanized
602,2109270,4,Rural with low human development
603,2109304,4,Rural with low human development
604,2109403,4,Rural with low human development
605,2109452,3,Urbanized with informal settlements
606,2109502,0,Semi-urbanized
607,2109551,0,Semi-urbanized
608,2109601,0,Semi-urbanized
609,2109700,0,Semi-urbanized
610,2109759,4,Rural with low human development
611,2109809,4,Rural with low human development
612,2109908,3,Urbanized with informal settlements
613,2110005,4,Rural with low human development
614,2110039,0,Semi-urbanized
615,2110104,4,Rural with low human development
616,2110203,0,Semi-urbanized
617,2110237,4,Rural with low human development
618,2110278,4,Rural with low human development
619,2110302,0,Semi-urbanized
620,2110401,4,Rural with low human development
621,2110500,0,Semi-urbanized
622,2110609,4,Rural with low human development
623,2110658,4,Rural with low human development
624,2110708,0,Semi-urbanized
625,2110807,0,Semi-urbanized
626,2110856,0,Semi-urbanized
627,2110906,4,Rural with low human development
628,2111003,4,Rural with low human development
629,2111029,4,Rural with low human development
630,2111052,0,Semi-urbanized
631,2111078,4,Rural with low human development
632,2111102,0,Semi-urbanized
633,2111201,3,Urbanized with informal settlements
634,2111250,4,Rural with low human development
635,2111300,3,Urbanized with informal settlements
636,2111409,4,Rural with low human development
637,2111508,0,Semi-urbanized
638,2111532,4,Rural with low human development
639,2111573,0,Semi-urbanized
640,2111607,0,Semi-urbanized
641,2111631,4,Rural with low human development
642,2111672,4,Rural with low human development
643,2111706,4,Rural with low human development
644,2111722,4,Rural with low human development
645,2111748,4,Rural with low human development
646,2111763,0,Semi-urbanized
647,2111789,4,Rural with low human development
648,2111805,4,Rural with low human development
649,2111904,4,Rural with low human development
650,2111953,0,Semi-urbanized
651,2112001,0,Semi-urbanized
652,2112100,4,Rural with low human development
653,2112209,3,Urbanized with informal settlements
654,2112233,0,Semi-urbanized
655,2112274,4,Rural with low human development
656,2112308,0,Semi-urbanized
657,2112407,4,Rural with low human development
658,2112456,4,Rural with low human development
659,2112506,4,Rural with low human development
660,2112605,4,Rural with low human development
661,2112704,4,Rural with low human development
662,2112803,0,Semi-urbanized
663,2112852,0,Semi-urbanized
664,2112902,0,Semi-urbanized
665,2113009,0,Semi-urbanized
666,2114007,0,Semi-urbanized
667,2200053,0,Semi-urbanized
668,2200103,0,Semi-urbanized
669,2200202,0,Semi-urbanized
670,2200251,0,Semi-urbanized
671,2200277,0,Semi-urbanized
672,2200301,0,Semi-urbanized
673,2200400,0,Semi-urbanized
674,2200459,0,Semi-urbanized
675,2200509,0,Semi-urbanized
676,2200608,0,Semi-urbanized
677,2200707,0,Semi-urbanized
678,2200806,0,Semi-urbanized
679,2200905,0,Semi-urbanized
680,2200954,0,Semi-urbanized
681,2201002,0,Semi-urbanized
682,2201051,4,Rural with low human development
683,2201101,0,Semi-urbanized
684,2201150,4,Rural with low human development
685,2201176,0,Semi-urbanized
686,2201200,0,Semi-urbanized
687,2201309,0,Semi-urbanized
688,2201408,0,Semi-urbanized
689,2201507,0,Semi-urbanized
690,2201556,0,Semi-urbanized
691,2201572,0,Semi-urbanized
692,2201606,0,Semi-urbanized
693,2201705,0,Semi-urbanized
694,2201739,4,Rural with low human development
695,2201770,0,Semi-urbanized
696,2201804,0,Semi-urbanized
697,2201903,0,Semi-urbanized
698,2201919,0,Semi-urbanized
699,2201929,0,Semi-urbanized
700,2201945,0,Semi-urbanized
701,2201960,0,Semi-urbanized
702,2201988,0,Semi-urbanized
703,2202000,0,Semi-urbanized
704,2202026,0,Semi-urbanized
705,2202059,0,Semi-urbanized
706,2202075,0,Semi-urbanized
707,2202083,0,Semi-urbanized
708,2202091,0,Semi-urbanized
709,2202109,0,Semi-urbanized
710,2202117,4,Rural with low human development
711,2202133,0,Semi-urbanized
712,2202174,4,Rural with low human development
713,2202208,0,Semi-urbanized
714,2202251,0,Semi-urbanized
715,2202307,0,Semi-urbanized
716,2202406,0,Semi-urbanized
717,2202455,0,Semi-urbanized
718,2202505,4,Rural with low human development
719,2202539,4,Rural with low human development
720,2202554,0,Semi-urbanized
721,2202604,0,Semi-urbanized
722,2202653,4,Rural with low human development
723,2202703,0,Semi-urbanized
724,2202711,0,Semi-urbanized
725,2202729,0,Semi-urbanized
726,2202737,0,Semi-urbanized
727,2202752,0,Semi-urbanized
728,2202778,0,Semi-urbanized
729,2202802,0,Semi-urbanized
730,2202851,0,Semi-urbanized
731,2202901,0,Semi-urbanized
732,2203008,0,Semi-urbanized
733,2203107,0,Semi-urbanized
734,2203206,0,Semi-urbanized
735,2203230,4,Rural with low human development
736,2203255,0,Semi-urbanized
737,2203271,4,Rural with low human development
738,2203305,0,Semi-urbanized
739,2203354,0,Semi-urbanized
740,2203404,0,Semi-urbanized
741,2203420,0,Semi-urbanized
742,2203453,0,Semi-urbanized
743,2203503,0,Semi-urbanized
744,2203602,0,Semi-urbanized
745,2203701,0,Semi-urbanized
746,2203750,4,Rural with low human development
747,2203800,0,Semi-urbanized
748,2203859,0,Semi-urbanized
749,2203909,3,Urbanized with informal settlements
750,2204006,0,Semi-urbanized
751,2204105,0,Semi-urbanized
752,2204154,0,Semi-urbanized
753,2204204,0,Semi-urbanized
754,2204303,0,Semi-urbanized
755,2204352,0,Semi-urbanized
756,2204402,0,Semi-urbanized
757,2204501,0,Semi-urbanized
758,2204550,4,Rural with low human development
759,2204600,0,Semi-urbanized
760,2204659,0,Semi-urbanized
761,2204709,0,Semi-urbanized
762,2204808,0,Semi-urbanized
763,2204907,0,Semi-urbanized
764,2205003,0,Semi-urbanized
765,2205102,0,Semi-urbanized
766,2205151,0,Semi-urbanized
767,2205201,4,Rural with low human development
768,2205250,0,Semi-urbanized
769,2205276,0,Semi-urbanized
770,2205300,0,Semi-urbanized
771,2205359,0,Semi-urbanized
772,2205409,4,Rural with low human development
773,2205458,4,Rural with low human development
774,2205508,0,Semi-urbanized
775,2205516,0,Semi-urbanized
776,2205524,0,Semi-urbanized
777,2205532,0,Semi-urbanized
778,2205540,0,Semi-urbanized
779,2205557,0,Semi-urbanized
780,2205565,0,Semi-urbanized
781,2205573,0,Semi-urbanized
782,2205581,0,Semi-urbanized
783,2205599,0,Semi-urbanized
784,2205607,0,Semi-urbanized
785,2205706,0,Semi-urbanized
786,2205805,0,Semi-urbanized
787,2205854,4,Rural with low human development
788,2205904,0,Semi-urbanized
789,2205953,0,Semi-urbanized
790,2206001,0,Semi-urbanized
791,2206050,4,Rural with low human development
792,2206100,0,Semi-urbanized
793,2206209,4,Rural with low human development
794,2206308,0,Semi-urbanized
795,2206357,0,Semi-urbanized
796,2206407,0,Semi-urbanized
797,2206506,0,Semi-urbanized
798,2206605,0,Semi-urbanized
799,2206654,0,Semi-urbanized
800,2206670,0,Semi-urbanized
801,2206696,4,Rural with low human development
802,2206704,0,Semi-urbanized
803,2206720,0,Semi-urbanized
804,2206753,0,Semi-urbanized
805,2206803,4,Rural with low human development
806,2206902,0,Semi-urbanized
807,2206951,0,Semi-urbanized
808,2207009,0,Semi-urbanized
809,2207108,0,Semi-urbanized
810,2207207,0,Semi-urbanized
811,2207306,0,Semi-urbanized
812,2207355,0,Semi-urbanized
813,2207405,0,Semi-urbanized
814,2207504,0,Semi-urbanized
815,2207553,0,Semi-urbanized
816,2207603,0,Semi-urbanized
817,2207702,3,Urbanized with informal settlements
818,2207751,0,Semi-urbanized
819,2207777,0,Semi-urbanized
820,2207793,4,Rural with low human development
821,2207801,0,Semi-urbanized
822,2207850,0,Semi-urbanized
823,2207900,0,Semi-urbanized
824,2207934,0,Semi-urbanized
825,2207959,0,Semi-urbanized
826,2208007,1,Urbanized
827,2208106,0,Semi-urbanized
828,2208205,0,Semi-urbanized
829,2208304,0,Semi-urbanized
830,2208403,0,Semi-urbanized
831,2208502,4,Rural with low human development
832,2208551,0,Semi-urbanized
833,2208601,0,Semi-urbanized
834,2208650,0,Semi-urbanized
835,2208700,0,Semi-urbanized
836,2208809,0,Semi-urbanized
837,2208858,4,Rural with low human development
